[Invalid file specified for console output: ${workspace_loc:/CoCoStandalone/src/testing}]
sols;heuristica;nombre;features;combs;Variables;Constraints;Solution;Build time;Resolution;Nodes;Backtracks;Fails
10;0;cocoModel_1280_0.properties;Model;1280;173816;185923;10;5,490;19,932;0,000000e+00;961;131;66;0;
10;1;cocoModel_1280_0.properties;Model;1280;173816;185923;10;2,865;10,698;0,000000e+00;1254;53;32;0;
10;2;cocoModel_1280_0.properties;Model;1280;173816;185923;10;2,542;8,335;0,000000e+00;1073;54;38;0;
10;3;cocoModel_1280_0.properties;Model;1280;173816;185923;10;1,903;8,328;0,000000e+00;1073;54;38;0;
10;0;cocoModel_1280_1.properties;Model;1280;22155;23751;1;0,062;0,096;0,000000e+00;6;11;5;0;
10;1;cocoModel_1280_1.properties;Model;1280;22155;23751;1;0,051;0,060;0,000000e+00;5;9;4;0;
10;2;cocoModel_1280_1.properties;Model;1280;22155;23751;1;0,048;0,064;0,000000e+00;4;7;3;0;
10;3;cocoModel_1280_1.properties;Model;1280;22155;23751;1;0,047;0,064;0,000000e+00;4;7;3;0;
10;0;cocoModel_1280_10.properties;Model;1280;43946;47047;10;0,148;0,873;0,000000e+00;167;16;0;0;
10;1;cocoModel_1280_10.properties;Model;1280;43946;47047;10;0,137;0,572;0,000000e+00;185;20;2;0;
10;2;cocoModel_1280_10.properties;Model;1280;43946;47047;10;0,137;0,546;0,000000e+00;159;17;1;0;
10;3;cocoModel_1280_10.properties;Model;1280;43946;47047;10;0,139;0,558;0,000000e+00;159;17;1;0;
10;0;cocoModel_1280_11.properties;Model;1280;44393;47610;10;0,148;0,853;0,000000e+00;131;47;18;0;
10;1;cocoModel_1280_11.properties;Model;1280;44393;47610;10;0,149;0,543;0,000000e+00;181;20;4;0;
10;2;cocoModel_1280_11.properties;Model;1280;44393;47610;10;0,143;0,533;0,000000e+00;139;15;0;0;
10;3;cocoModel_1280_11.properties;Model;1280;44393;47610;10;0,134;0,545;0,000000e+00;139;15;0;0;
10;0;cocoModel_1280_12.properties;Model;1280;44437;47671;10;0,226;0,950;0,000000e+00;179;36;11;0;
10;1;cocoModel_1280_12.properties;Model;1280;44437;47671;10;0,132;0,534;0,000000e+00;207;23;7;0;
10;2;cocoModel_1280_12.properties;Model;1280;44437;47671;10;0,132;0,509;0,000000e+00;157;22;4;0;
10;3;cocoModel_1280_12.properties;Model;1280;44437;47671;10;0,130;0,564;0,000000e+00;157;22;4;0;
10;0;cocoModel_1280_2.properties;Model;1280;22328;23935;10;0,061;0,529;0,000000e+00;315;35;10;0;
10;1;cocoModel_1280_2.properties;Model;1280;22328;23935;10;0,048;0,307;0,000000e+00;377;16;0;0;
10;2;cocoModel_1280_2.properties;Model;1280;22328;23935;10;0,042;0,277;0,000000e+00;309;18;1;0;
