Features,WD,CID,CrossC,OC
40,0.529626052,0.07404483,0.097542279,0.11276722
80,1.898654696,0.224843727,0.149619836,0.15629344
160,7.285470331,0.807289726,0.983866804,0.950504366
320,7.630882114,0.653963758,1.325145084,1.2127074
640,27.20017213,1.896061797,3.341382707,3.451969712
1280,156.8881313,8.558440782,12.87323023,13.11451736
