Features,WD,CID,CrossC,OC
40,0.375908756,0.113821629,0.064901874,0.068601979
80,1.093156455,0.126679823,0.121247411,0.124251108
160,2.711470073,0.247784338,0.247059054,0.252849823
320,4.084747489,0.398411788,0.382942149,0.417379927
640,16.37333483,1.292128167,1.384926152,1.363903651
1280,89.27132227,6.251743054,4.917695722,5.730988864
