Features,WD,CID,CrossC,OC
40,0.741641017,0.095995121,0.097542279,0.11276722
80,1.718656598,0.182342167,0.149619836,0.15629344
160,10.83178859,0.965641052,0.983866804,0.950504366
320,12.67895094,1.184595372,1.325145084,1.2127074
640,51.08256551,3.407414299,3.341382707,3.451969712
1280,209.5093836,11.83271171,12.87323023,13.11451736
