Heuristic,Drupal,Web Portal,DecISIonAL,E-Shop
WD,0.145110352,0.042870681,0.04879782,0.521475574
CID,0.004855814,0.0161,0.041364136,0.106512438
CrossC,0.006631579,0.011368421,0.017439024,3.902671752	
OC,0.001846154,0.011186441,0.032027933,4.580275933



		
			
			
		
